Dst Port,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Header Length.1,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
21,8705597,9,15,103,188,22,0,11.44444444,9.043106644,34,0,12.53333333,14.54975045,33.42677131,2.756847118,378504.2174,985300.0601,3178641,3,5479322,684915.25,1268134.603,2866005,3,8705548,621824.8571,1216548.77,3178641,48,0,0,0,0,296,488,1.033817669,1.723029449,0,34,11.64,12.52623913,156.9066667,0,0,0,1,0,0,0,0,1,12.125,11.44444444,12.53333333,296,0,0,0,0,0,0,9,103,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,227,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,61674.00881,13215.85903,113.5,30.40559159,135,92,227,227.0,0.0,227,227,0,0.0,0.0,0,0,1,0,0,0,64,20,8810.572687,4405.286344,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,8255803,9,15,108,188,26,0,12.0,9.797958971,34,0,12.53333333,14.54975045,35.8535687,2.90704611,358947.9565,931745.1087,2824883,3,5705512,713189.0,1318635.92,2866998,4,8255719,589694.2143,1150066.66,2824883,3,0,0,0,0,296,488,1.090142291,1.816903819,0,34,11.84,12.71377206,161.64,0,0,0,1,0,0,0,0,1,12.33333333,12.0,12.53333333,296,0,0,0,0,0,0,9,108,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,9935643,9,15,107,188,27,0,11.88888889,9.803627447,34,0,12.53333333,14.54975045,29.6910829,2.415545728,431984.4783,1122057.0,3424092,3,6732670,841583.75,1554284.013,3466819,47,9935516,709679.7143,1385069.628,3424092,3,0,0,0,0,296,488,0.905829648,1.50971608,0,34,11.8,12.71482075,161.6666667,0,0,0,1,0,0,0,0,1,12.29166667,11.88888889,12.53333333,296,0,0,0,0,0,0,9,107,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,9718914,9,15,95,188,21,0,10.55555556,8.2023032,34,0,12.53333333,14.54975045,29.1184797,2.469411706,422561.4783,1103001.493,3605260,3,6069601,758700.125,1402998.62,3154893,3,9718790,694199.2857,1362285.453,3605260,3,0,0,0,0,296,488,0.92602939,1.543382316,0,34,11.32,12.34476947,152.3933333,0,0,0,1,0,0,0,0,1,11.79166667,10.55555556,12.53333333,296,0,0,0,0,0,0,9,95,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,239,2,1,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,58577.40586,12552.30126,119.5,48.7903679,154,85,239,239.0,0.0,239,239,0,0.0,0.0,0,0,1,0,0,0,64,20,8368.200837,4184.100418,0,14,7.0,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,9.333333333,7.0,0.0,64,0,0,0,0,0,0,2,14,1,0,229,0,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,4,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,3500000.0,500000.0,4.0,0.0,4,4,4,4.0,0.0,4,4,0,0.0,0.0,0,0,1,0,0,0,64,0,500000.0,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,45,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,311111.1111,44444.44444,45.0,0.0,45,45,45,45.0,0.0,45,45,0,0.0,0.0,0,0,1,0,0,0,64,0,44444.44444,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,3,2,0,14,0,14,0,7.0,9.899494937,0,0,0.0,0.0,4666666.667,666666.6667,3.0,0.0,3,3,3,3.0,0.0,3,3,0,0.0,0.0,0,0,1,0,0,0,64,0,666666.6667,0.0,0,14,9.333333333,8.082903769,65.33333333,0,1,0,0,1,0,0,0,0,14.0,7.0,0.0,64,0,0,0,0,0,0,2,14,0,0,229,-1,0,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
21,9861867,9,15,102,188,21,0,11.33333333,8.902246907,34,0,12.53333333,14.54975045,29.40619662,2.433616272,428776.8261,1116307.652,3520791,3,6299197,787399.625,1455092.962,3342820,250,9861719,704408.5,1378325.975,3520791,3,0,0,0,0,296,488,0.912606102,1.52101017,0,34,11.6,12.49333155,156.0833333,0,0,0,1,0,0,0,0,1,12.08333333,11.33333333,12.53333333,296,0,0,0,0,0,0,9,102,15,188,29200,227,6,32,0.0,0.0,0,0,0.0,0.0,0,0,FTP-Patator
