androiddefender_0,androiddefender_1,androidspy_0,androidspy_1,avforandroid_0,avforandroid_1,avpass_0,avpass_1,beanbot_0,beanbot_1,biige_0,biige_1,charger_0,charger_1,dowgin_0,dowgin_1,ewind_0,ewind_1,fakeapp_0,fakeapp_1,fakeappal_0,fakeappal_1,fakeav_0,fakeav_1,fakeinst_0,fakeinst_1,fakejoboffer_0,fakejoboffer_1,fakemart_0,fakemart_1,fakenotify_0,fakenotify_1,faketaobao_0,faketaobao_1,feiwo_0,feiwo_1,gooligan_0,gooligan_1,jifake_0,jifake_1,jisut_0,jisut_1,kemoge_0,kemoge_1,koler_0,koler_1,koodous_0,koodous_1,lockerpin_0,lockerpin_1,mazarbot_0,mazarbot_1,mobidash_0,mobidash_1,nandrobox_0,nandrobox_1,penetho_0,penetho_1,plankton_0,plankton_1,pletor_0,pletor_1,porndroid_0,porndroid_1,ransombo_0,ransombo_1,selfmite_0,selfmite_1,shuanet_0,shuanet_1,simplocker_0,simplocker_1,smssniffer_0,smssniffer_1,svpeng_0,svpeng_1,virusshield_0,virusshield_1,wannalocker_0,wannalocker_1,youmi_0,youmi_1,zsone_0,zsone_1
0.00026239385,0.99973756,0.05210931,0.9478907,5.3763393e-05,0.99994624,0.00031035062,0.9996897,0.00065839296,0.99934155,0.03133528,0.96866465,2.1032338e-09,1.0,1.1109492e-08,1.0,3.625243e-05,0.99996376,1.4536798e-06,0.99999857,9.850793e-05,0.99990153,0.110752374,0.8892476,0.10098904,0.8990109,3.250108e-05,0.99996746,0.01392273,0.9860773,0.13625193,0.8637481,8.241313e-06,0.9999918,0.00043138696,0.99956864,1.9827053e-06,0.999998,0.050708625,0.9492914,0.0033816772,0.99661833,0.053215746,0.94678426,1.9899924e-05,0.9999801,0.010877659,0.98912233,0.16915728,0.8308427,0.0068329647,0.9931671,0.0006757643,0.9993242,0.00012414329,0.9998758,0.071092464,0.9289075,2.588438e-06,0.9999974,0.030903323,0.9690966,0.00017660565,0.9998234,0.1061394,0.8938606,0.08686621,0.9131338,0.00020229546,0.99979776,9.2522896e-05,0.9999075,5.3081276e-06,0.99999464,0.0029395712,0.99706036,1.614808e-05,0.9999839,0.00043807336,0.99956197,0.0009690815,0.99903095,0.000794827,0.9992052
7.367342e-05,0.9999263,0.0002870029,0.999713,3.1236388e-05,0.99996877,0.00032364993,0.99967635,0.000280459,0.99971956,0.00032998846,0.99967,1.4975654e-08,1.0,1.5822021e-06,0.99999845,1.8255778e-05,0.99998176,1.7833643e-06,0.9999982,3.0632007e-05,0.99996936,8.875864e-07,0.99999917,0.00036183835,0.9996382,2.7129776e-05,0.9999728,0.0005102837,0.99948967,7.430972e-05,0.99992573,4.444248e-06,0.9999956,0.00015732282,0.99984264,2.0674623e-08,1.0,0.0012522963,0.9987477,0.00029661728,0.99970335,2.8835213e-06,0.99999714,1.0595823e-05,0.9999894,0.00017444733,0.99982554,0.00016765864,0.9998323,0.0023185199,0.9976815,0.00019005562,0.9998099,2.3758968e-05,0.9999763,0.00031564085,0.99968433,3.9894508e-07,0.99999964,0.0025805556,0.9974195,0.00027985053,0.99972016,0.1061394,0.8938606,3.3638727e-05,0.9999664,3.72512e-05,0.9999628,2.3319977e-05,0.99997663,1.3424274e-07,0.9999999,0.00027157244,0.9997284,7.26548e-05,0.9999273,2.9300918e-05,0.9999707,0.00016303507,0.9998369,8.3635605e-06,0.99999166
4.6451176e-05,0.9999535,0.05210931,0.9478907,9.3228355e-06,0.9999907,0.00014342456,0.9998566,4.4242657e-05,0.9999558,0.03811679,0.9618831,4.5993098e-10,1.0,4.1575957e-10,1.0,6.264998e-06,0.9999937,1.7421894e-07,0.9999999,4.9010472e-05,0.999951,0.10222749,0.89777255,0.31949353,0.68050647,2.3137056e-06,0.99999774,0.020909816,0.9790902,0.13625193,0.8637481,2.665604e-07,0.99999976,0.00017064466,0.9998293,4.069628e-06,0.99999595,0.029204616,0.9707954,0.0009714007,0.99902856,0.0503027,0.9496973,0.0048257313,0.99517435,0.012806394,0.98719364,0.16915728,0.8308427,0.0073589566,0.99264103,0.00044856328,0.99955136,2.471593e-05,0.9999753,0.071092464,0.9289075,1.9915647e-06,0.999998,0.03597755,0.96402246,0.00013184018,0.99986815,0.1061394,0.8938606,0.08686621,0.9131338,5.21939e-05,0.9999478,9.806984e-05,0.9999019,3.6188231e-07,0.99999964,0.002573676,0.99742633,4.1260446e-07,0.99999964,0.00013625964,0.99986374,0.00041916632,0.9995808,0.0007033009,0.99929667
2.2031005e-05,0.99997795,0.0010896978,0.9989103,1.1092786e-05,0.9999889,9.7542346e-05,0.9999025,8.699133e-05,0.999913,0.00059454003,0.9994055,2.1530684e-06,0.99999785,4.3883662e-07,0.9999995,8.8879015e-06,0.99999106,2.9732073e-06,0.999997,9.748543e-05,0.9999025,9.5203586e-07,0.99999905,0.00042945606,0.99957055,1.6025626e-05,0.999984,0.0012364049,0.99876356,8.035064e-06,0.999992,1.6626987e-06,0.99999833,0.00013227196,0.9998677,1.2135666e-07,0.9999999,0.004016852,0.9959831,0.0002521204,0.99974793,4.286107e-06,0.9999957,0.00019031223,0.9998097,0.00028159635,0.99971837,0.000320055,0.9996799,0.0018368355,0.99816316,0.00029946072,0.99970055,2.7033908e-05,0.99997294,0.0004904187,0.9995096,1.6072898e-06,0.99999845,0.0037576677,0.9962424,0.0002444898,0.99975556,0.1061394,0.8938606,5.93976e-05,0.99994063,3.351356e-05,0.9999665,4.8608285e-06,0.9999951,2.168421e-07,0.99999976,0.0002303516,0.9997696,6.2576423e-06,0.9999938,6.9806236e-05,0.99993014,0.00035752016,0.9996425,7.8951246e-07,0.99999917
0.17588331,0.8241167,0.05210931,0.9478907,0.053954896,0.94604504,0.050576128,0.94942385,0.0033492357,0.99665076,0.0075096358,0.99249035,8.708487e-05,0.99991286,0.22907315,0.7709269,0.052164953,0.947835,0.2074729,0.79252714,0.057071425,0.9429286,0.10523343,0.8947665,0.0045507774,0.99544924,0.19523141,0.80476856,0.022138216,0.9778618,0.028637942,0.97136205,0.05020354,0.94979644,0.054307964,0.94569206,0.025497653,0.9745024,0.18187684,0.81812316,0.21035245,0.7896476,0.016467473,0.98353255,0.1829027,0.8170973,0.010162605,0.98983747,0.16915728,0.8308427,0.06991257,0.9300874,0.19193456,0.8080654,0.04944505,0.9505549,0.071092464,0.9289075,0.0013256283,0.9986744,0.16393673,0.83606327,0.17852099,0.821479,0.1061394,0.8938606,0.043996334,0.95600367,0.05059785,0.94940215,0.0015361228,0.99846387,0.0016609811,0.99833906,0.20376231,0.7962377,0.012616299,0.9873838,0.00038202212,0.99961793,0.17450488,0.8254951,0.024011042,0.975989
9.151537e-05,0.99990845,0.00026356452,0.99973637,3.2985346e-05,0.999967,0.00030445535,0.99969554,0.00021136235,0.9997887,0.00021814574,0.9997819,8.944316e-09,1.0,1.9515794e-06,0.9999981,2.1274862e-05,0.9999788,2.2119893e-06,0.99999774,3.390953e-05,0.99996614,6.2216606e-07,0.9999994,0.0002770337,0.9997229,3.339982e-05,0.9999666,0.00040748648,0.9995925,6.0742448e-05,0.9999392,4.8398742e-06,0.9999951,0.00014587342,0.9998541,1.8772182e-08,1.0,0.0011231106,0.99887687,0.00034883598,0.9996512,2.0512734e-06,0.999998,1.2875567e-05,0.9999871,0.0001521006,0.9998479,0.00021356149,0.99978644,0.0020116887,0.99798834,0.00022620456,0.9997738,2.557112e-05,0.99997437,0.0003205393,0.99967945,3.1357487e-07,0.99999964,0.0022421852,0.99775785,0.00027722368,0.9997228,0.1061394,0.8938606,2.2825778e-05,0.99997723,3.64713e-05,0.9999635,1.4052434e-05,0.99998593,1.18883946e-07,0.9999999,0.00023265489,0.99976736,6.7188856e-05,0.99993277,3.5045137e-05,0.99996495,0.00018666933,0.9998134,9.6286085e-06,0.99999034
0.116198644,0.8838014,0.05210931,0.9478907,0.03301964,0.9669804,0.03003795,0.96996206,0.18600366,0.8139964,0.1281909,0.87180907,0.0123280985,0.987672,0.10508569,0.89491427,0.030060563,0.9699395,0.08501804,0.914982,0.036333155,0.96366686,0.037499834,0.9625002,0.22003397,0.77996606,0.13129981,0.8687002,0.05856243,0.9414376,0.13625193,0.8637481,0.03589369,0.9641063,0.036426075,0.96357393,0.15114722,0.8488528,0.1539404,0.84605956,0.12816097,0.87183905,0.14704642,0.85295355,0.11659545,0.88340455,0.07013928,0.9298607,0.16915728,0.8308427,0.054739226,0.94526076,0.13610074,0.8638993,0.0312539,0.9687461,0.071092464,0.9289075,0.27159074,0.7284093,0.038406897,0.96159303,0.1002971,0.89970285,0.1061394,0.8938606,0.08686621,0.9131338,0.033823572,0.9661765,0.017328704,0.9826713,0.37370446,0.62629557,0.012786028,0.98721397,0.13206354,0.8679365,0.017792853,0.9822072,0.11679573,0.8832043,0.048792094,0.9512079
9.61169e-05,0.9999039,0.00026204486,0.9997379,3.3602366e-05,0.9999664,0.00030317972,0.99969685,0.00026215284,0.9997378,0.00025712114,0.9997429,5.618292e-09,1.0,2.0955283e-06,0.99999785,2.1601683e-05,0.9999784,2.3365644e-06,0.9999976,3.4581215e-05,0.9999654,1.3316699e-06,0.9999987,0.00042153508,0.9995784,3.4322977e-05,0.99996567,0.00037544,0.9996245,7.635173e-05,0.9999236,5.04789e-06,0.999995,0.00014622672,0.99985373,1.1016973e-06,0.9999989,0.0011038308,0.9988961,0.0003590043,0.99964094,3.0093852e-06,0.999997,1.3301542e-05,0.99998665,0.00028565188,0.9997143,0.00022081067,0.99977916,0.0019690082,0.99803096,0.00023388951,0.9997662,2.5965079e-05,0.999974,0.00032411772,0.99967587,2.3804364e-07,0.99999976,0.0018395932,0.9981604,0.00027889115,0.9997211,0.1061394,0.8938606,5.2035262e-05,0.9999479,3.6463025e-05,0.9999635,1.0205021e-05,0.99998975,1.1651561e-07,0.9999999,0.00023087757,0.99976915,7.927234e-05,0.9999207,3.68207e-05,0.99996316,0.00019077332,0.9998092,4.110528e-05,0.9999589
9.157387e-05,0.99990845,0.0002636447,0.99973637,3.301285e-05,0.999967,0.0003045616,0.9996954,0.00021141274,0.9997886,0.00021817714,0.9997818,8.935348e-09,1.0,1.953013e-06,0.9999981,2.1297636e-05,0.99997866,2.2135637e-06,0.99999774,3.3938646e-05,0.999966,6.231144e-07,0.9999994,0.00027721678,0.9997228,3.341798e-05,0.9999666,0.00040745173,0.9995926,6.0776518e-05,0.9999392,4.843185e-06,0.9999951,0.00014595856,0.99985397,1.8796365e-08,1.0,0.001123053,0.998877,0.00034900045,0.99965096,2.0478685e-06,0.999998,1.2882434e-05,0.9999871,0.000152183,0.99984777,0.00021370164,0.9997863,0.0020119997,0.997988,0.00022632063,0.9997737,2.5586487e-05,0.99997437,0.0003206576,0.9996793,3.1343134e-07,0.99999964,0.0022415665,0.9977584,0.00027723264,0.9997228,0.1061394,0.8938606,2.2837143e-05,0.9999771,3.6504985e-05,0.9999635,1.4044958e-05,0.99998593,1.1889211e-07,0.9999999,0.00023270879,0.99976724,6.7215005e-05,0.99993277,3.5068504e-05,0.99996495,0.00018674586,0.99981326,9.627066e-06,0.99999034
2.1373347e-05,0.99997866,0.0011055567,0.9988945,1.1028863e-05,0.9999889,9.827581e-05,0.9999018,9.282211e-05,0.99990714,0.0006304552,0.99936956,2.2854115e-06,0.99999774,4.257571e-07,0.9999995,8.753522e-06,0.9999913,2.8990867e-06,0.99999714,9.666085e-05,0.9999033,2.13343e-06,0.99999785,0.00043496417,0.99956506,1.5687005e-05,0.99998426,0.0013359822,0.998664,7.743773e-06,0.99999225,1.6269588e-06,0.99999833,0.00013321039,0.9998667,1.3622548e-07,0.9999999,0.004246486,0.9957535,0.0002472977,0.9997527,8.336279e-06,0.99999166,0.0001993323,0.99980074,0.00033618466,0.99966383,0.0003129492,0.9996871,0.0018748206,0.99812514,0.00029309132,0.9997069,2.6501712e-05,0.99997354,0.00048801248,0.99951196,1.6728843e-06,0.99999833,0.003835108,0.9961649,0.00025827566,0.99974173,0.1061394,0.8938606,6.095692e-05,0.9999391,3.3747394e-05,0.99996626,4.346853e-06,0.9999957,2.077979e-07,0.99999976,0.00023492496,0.9997651,6.3330713e-06,0.9999937,6.894942e-05,0.9999311,0.00035346524,0.99964654,7.6257584e-07,0.9999993
